"Date","Time","Open","High","Low","Close","Vol","OI"
08/16/2023,23:00,365.65,367.21,362.22,362.32,53190525,0
08/17/2023,23:00,363.74,364.09,357.94,358.36,62604338,0
08/18/2023,23:00,355.04,359.19,354.49,357.91,61191389,0
08/21/2023,23:00,359.40,364.37,358.93,363.68,50696518,0
08/22/2023,23:00,366.33,366.34,362.46,363.16,44613509,0
08/23/2023,23:00,364.36,370.00,364.14,368.89,51770603,0
08/24/2023,23:00,372.42,372.52,360.79,361.00,66842491,0
08/25/2023,23:00,361.85,365.52,358.36,363.80,69960465,0
08/28/2023,23:00,366.77,367.49,364.03,366.54,40910019,0
08/29/2023,23:00,366.34,374.91,366.02,374.55,58492371,0
08/30/2023,23:00,374.66,377.23,373.64,376.64,41731511,0
08/31/2023,23:00,376.72,379.50,376.65,377.77,35730701,0
09/01/2023,23:00,380.18,380.61,375.86,377.37,39801177,0
09/05/2023,23:00,376.55,379.09,375.61,377.85,32344222,0
09/06/2023,23:00,377.06,377.41,372.48,374.52,42998735,0
09/07/2023,23:00,369.99,372.63,368.93,371.84,52060716,0
09/08/2023,23:00,371.79,374.63,371.38,372.36,35840186,0
09/11/2023,23:00,375.44,377.27,373.44,376.75,39936634,0
09/12/2023,23:00,375.05,376.74,372.28,372.57,41391024,0
09/13/2023,23:00,372.81,375.62,371.66,373.99,46300677,0
09/14/2023,23:00,375.77,378.05,373.67,377.05,48039388,0
09/15/2023,23:00,375.69,376.10,369.64,370.59,69811206,0
09/18/2023,23:00,369.10,371.57,368.81,370.44,36903545,0
09/19/2023,23:00,369.10,370.47,366.58,369.65,37621734,0
09/20/2023,23:00,370.73,371.09,364.24,364.32,45514189,0
09/21/2023,23:00,360.58,361.38,357.47,357.64,69734845,0
09/22/2023,23:00,359.41,361.58,357.37,357.69,51589689,0
09/25/2023,23:00,356.71,359.48,355.71,359.39,39167985,0
09/26/2023,23:00,356.77,357.32,352.99,353.99,53657748,0
09/27/2023,23:00,355.16,356.76,351.14,354.82,56065972,0
09/28/2023,23:00,353.89,359.95,353.02,357.79,56453312,0
09/29/2023,23:00,361.32,362.73,356.80,358.05,64829616,0
10/02/2023,23:00,358.32,362.46,357.70,361.04,51625054,0
10/03/2023,23:00,358.56,360.79,353.06,354.70,60478489,0
10/04/2023,23:00,355.55,360.39,355.08,359.53,54786686,0
10/05/2023,23:00,359.52,359.93,354.92,358.47,45897390,0
10/06/2023,23:00,355.43,365.69,354.63,364.48,75049119,0
10/09/2023,23:00,362.08,366.89,360.56,366.34,45304766,0
10/10/2023,23:00,366.68,371.06,366.17,368.37,46968806,0
10/11/2023,23:00,369.72,371.20,367.97,371.00,38215088,0
10/12/2023,23:00,371.51,373.52,367.28,369.71,49587942,0
10/13/2023,23:00,370.35,370.94,363.64,365.06,52519876,0
10/16/2023,23:00,366.40,370.26,366.25,369.19,44201059,0
10/17/2023,23:00,365.59,369.70,363.44,367.98,50999102,0
10/18/2023,23:00,365.45,367.69,361.80,363.15,54280490,0
10/19/2023,23:00,364.59,365.80,358.94,359.75,72274238,0
10/20/2023,23:00,359.24,359.82,354.15,354.38,72559723,0
10/23/2023,23:00,353.04,359.04,350.90,355.45,60665185,0
10/24/2023,23:00,357.29,359.69,355.57,358.91,47082078,0
10/25/2023,23:00,356.48,356.66,349.53,350.12,71190536,0
10/26/2023,23:00,348.90,349.85,342.13,343.44,78621425,0
10/27/2023,23:00,346.21,348.62,343.86,345.09,63476707,0
10/30/2023,23:00,347.61,350.32,346.23,348.98,55298536,0
10/31/2023,23:00,349.01,351.03,346.40,350.65,47671906,0
11/01/2023,23:00,351.50,357.31,351.40,356.74,58992666,0
11/02/2023,23:00,361.32,363.46,360.08,363.22,58162442,0
11/03/2023,23:00,364.53,368.80,364.30,367.49,53280457,0
11/06/2023,23:00,368.27,369.56,366.69,368.99,38848743,0
11/07/2023,23:00,370.05,373.36,368.83,372.48,50777398,0
11/08/2023,23:00,372.86,373.57,370.40,372.72,35663373,0
11/09/2023,23:00,373.42,374.58,369.35,369.85,53859421,0
11/10/2023,23:00,371.60,378.32,371.06,378.17,58368439,0
11/13/2023,23:00,376.57,378.06,375.02,376.99,40733505,0
11/14/2023,23:00,383.49,386.04,382.96,385.11,67792634,0
11/15/2023,23:00,387.03,387.53,384.02,385.40,54141385,0
11/16/2023,23:00,384.62,385.97,383.34,385.73,45343544,0
11/17/2023,23:00,384.99,386.85,384.07,385.82,46622745,0
11/20/2023,23:00,385.83,391.19,385.83,390.52,44536669,0
11/21/2023,23:00,388.79,389.01,386.48,388.25,43336989,0
11/22/2023,23:00,390.35,392.85,388.82,389.84,44178572,0
11/24/2023,23:00,389.43,390.03,388.28,389.29,15718832,0
11/27/2023,23:00,388.79,390.93,388.06,388.95,34139656,0
11/28/2023,23:00,388.19,390.56,387.83,389.97,35491123,0
11/29/2023,23:00,392.47,393.92,389.24,389.59,38811745,0
11/30/2023,23:00,389.86,390.33,385.60,388.61,52834381,0
12/01/2023,23:00,387.53,390.32,385.86,389.72,40490068,0
12/04/2023,23:00,385.87,386.38,382.44,386.10,51186944,0
12/05/2023,23:00,384.17,388.28,383.99,387.07,42932956,0
12/06/2023,23:00,390.05,390.15,384.48,384.83,41994072,0
12/07/2023,23:00,387.85,391.05,386.74,390.21,49593545,0
12/08/2023,23:00,388.45,392.40,388.26,391.95,46687525,0
12/11/2023,23:00,391.52,395.57,391.31,395.30,41198021,0
12/12/2023,23:00,395.34,398.57,394.19,398.45,39221152,0
12/13/2023,23:00,399.40,404.14,398.62,403.52,55408129,0
12/14/2023,23:00,404.76,406.08,400.12,403.17,55447808,0
12/15/2023,23:00,403.96,406.32,403.35,405.12,62896645,0
12/18/2023,23:00,404.71,407.77,404.38,406.86,46609985,0
12/19/2023,23:00,407.32,409.06,407.13,408.94,35711855,0
12/20/2023,23:00,408.13,410.25,402.68,402.86,54042443,0
12/21/2023,23:00,406.84,407.92,404.25,407.55,45568914,0
12/22/2023,23:00,408.78,409.75,406.26,408.16,34314003,0
12/26/2023,23:00,409.03,411.34,408.93,410.66,22722545,0
12/27/2023,23:00,410.95,411.79,410.08,411.50,31980481,0
12/28/2023,23:00,412.67,412.92,410.94,411.30,27029152,0
12/29/2023,23:00,411.28,411.64,407.58,409.52,42662120,0
01/02/2024,23:00,405.84,406.09,400.24,402.59,58026946,0
