long_threshold,short_threshold,min_volume_pct_change,bar_color_filter,profit_factor,win_rate,avg_return,avg_pnl,max_drawdown,num_trades,risk_violations,daily_loss_violations,direction_tag,suggested_contracts,stop_ticks,stop_loss_dollars,error
0.5,2.5,0.05,False,0.7781885397412199,0.45121951219512196,-1.829268292682927,-1.829268292682927,207.5,82,13,0,both,1,10,0,
0.5,3.0,0.0,True,1.0536779324055665,0.5232558139534884,0.39244186046511625,0.39244186046511625,178.75,86,17,0,both,1,10,0,
0.5,3.0,0.0,False,0.7584830339321357,0.44594594594594594,-2.043918918918919,-2.043918918918919,208.75,74,13,0,both,1,10,0,
0.5,3.0,0.05,True,1.0833333333333333,0.5238095238095238,0.5952380952380952,0.5952380952380952,156.25,84,16,0,both,1,10,0,
0.5,3.0,0.05,False,0.7584830339321357,0.44594594594594594,-2.043918918918919,-2.043918918918919,208.75,74,13,0,both,1,10,0,
0.5,3.5,0.0,True,0.9193548387096774,0.5,-0.625,-0.625,193.75,90,17,0,both,1,10,0,
0.5,3.5,0.0,False,0.7535641547861507,0.4444444444444444,-2.1006944444444446,-2.1006944444444446,208.75,72,13,0,both,1,10,0,
0.5,3.5,0.05,True,0.9401869158878504,0.5,-0.45454545454545453,-0.45454545454545453,171.25,88,16,0,both,1,10,0,
0.5,3.5,0.05,False,0.7535641547861507,0.4444444444444444,-2.1006944444444446,-2.1006944444444446,208.75,72,13,0,both,1,10,0,
0.5,4.0,0.0,True,0.801056338028169,0.46511627906976744,-1.6424418604651163,-1.6424418604651163,193.75,86,17,0,both,1,10,0,
0.5,4.0,0.0,False,0.8527315914489311,0.484375,-1.2109375,-1.2109375,172.5,64,13,0,both,1,10,0,
0.5,4.0,0.05,True,0.8165137614678899,0.4642857142857143,-1.4880952380952381,-1.4880952380952381,171.25,84,16,0,both,1,10,0,
0.5,4.0,0.05,False,0.8527315914489311,0.484375,-1.2109375,-1.2109375,172.5,64,13,0,both,1,10,0,
1.0,0.5,0.0,True,0.85,0.48214285714285715,-1.2723214285714286,-1.2723214285714286,183.75,56,11,0,both,1,10,0,
1.0,0.5,0.0,False,1.026978417266187,0.5106382978723404,0.19946808510638298,0.19946808510638298,131.25,94,19,0,both,1,10,0,
1.0,0.5,0.05,True,0.85,0.48214285714285715,-1.2723214285714286,-1.2723214285714286,183.75,56,11,0,both,1,10,0,
1.0,0.5,0.05,False,1.026978417266187,0.5106382978723404,0.19946808510638298,0.19946808510638298,131.25,94,19,0,both,1,10,0,
1.0,1.0,0.0,True,0.8915989159891599,0.47368421052631576,-0.8771929824561403,-0.8771929824561403,131.25,57,11,0,both,1,10,0,
