"Date","Time","Open","High","Low","Close","Up","Down","Volume"
06/02/2025,03:30,5903.00,5903.50,5900.00,5900.00,350,678,1028.00
06/02/2025,03:35,5900.50,5900.50,5897.25,5898.50,501,593,1094.00
06/02/2025,03:40,5898.75,5900.00,5897.50,5898.75,324,394,718.00
06/02/2025,03:45,5899.00,5901.75,5898.25,5900.50,502,316,818.00
06/02/2025,03:50,5900.50,5902.50,5897.50,5897.75,468,700,1168.00
06/02/2025,03:55,5897.50,5900.25,5896.75,5898.00,560,491,1051.00
06/02/2025,04:00,5898.25,5900.25,5897.50,5899.75,276,228,504.00
06/02/2025,04:05,5900.00,5902.00,5898.75,5901.25,382,472,854.00
06/02/2025,04:10,5901.25,5903.25,5900.25,5902.25,314,334,648.00
06/02/2025,04:15,5902.00,5903.00,5901.25,5902.75,211,243,454.00
06/02/2025,04:20,5902.75,5903.25,5901.50,5902.25,233,225,458.00
06/02/2025,04:25,5902.25,5904.25,5901.00,5904.00,343,247,590.00
06/02/2025,04:30,5903.75,5904.00,5900.00,5900.25,268,487,755.00
06/02/2025,04:35,5900.50,5900.75,5898.25,5898.75,333,545,878.00
06/02/2025,04:40,5898.50,5899.50,5895.75,5897.75,519,664,1183.00
06/02/2025,04:45,5897.75,5898.25,5894.25,5895.25,482,673,1155.00
06/02/2025,04:50,5895.00,5897.75,5894.50,5897.25,305,294,599.00
06/02/2025,04:55,5897.50,5898.00,5895.75,5896.75,237,314,551.00
06/02/2025,05:00,5896.50,5897.50,5895.50,5897.00,230,233,463.00
06/02/2025,05:05,5897.00,5898.00,5895.25,5895.50,373,460,833.00
06/02/2025,05:10,5895.75,5896.75,5892.00,5893.50,704,1174,1878.00
06/02/2025,05:15,5893.75,5894.75,5892.25,5893.00,406,406,812.00
06/02/2025,05:20,5892.75,5894.25,5891.50,5892.50,460,432,892.00
06/02/2025,05:25,5892.50,5895.75,5891.00,5895.50,618,435,1053.00
06/02/2025,05:30,5895.50,5896.00,5894.00,5894.75,299,352,651.00
06/02/2025,05:35,5894.50,5896.00,5894.25,5895.25,258,143,401.00
06/02/2025,05:40,5895.50,5897.75,5895.25,5897.25,427,319,746.00
06/02/2025,05:45,5897.50,5898.00,5896.75,5897.25,222,162,384.00
06/02/2025,05:50,5897.50,5898.75,5896.50,5896.75,268,266,534.00
06/02/2025,05:55,5897.00,5897.50,5895.00,5896.25,389,431,820.00
06/02/2025,06:00,5896.25,5896.75,5894.25,5894.75,220,342,562.00
06/02/2025,06:05,5894.75,5894.75,5890.50,5892.00,606,870,1476.00
06/02/2025,06:10,5892.00,5892.25,5886.75,5888.25,783,1486,2269.00
06/02/2025,06:15,5888.50,5890.25,5888.00,5888.75,298,330,628.00
06/02/2025,06:20,5888.75,5890.75,5888.25,5889.75,305,227,532.00
06/02/2025,06:25,5890.00,5892.50,5889.50,5891.00,510,393,903.00
06/02/2025,06:30,5890.75,5890.75,5887.75,5889.00,239,555,794.00
06/02/2025,06:35,5889.25,5889.50,5888.00,5888.50,251,274,525.00
06/02/2025,06:40,5888.25,5890.75,5888.25,5889.25,215,122,337.00
06/02/2025,06:45,5889.50,5890.00,5888.75,5889.00,133,162,295.00
06/02/2025,06:50,5889.00,5889.50,5887.25,5888.75,250,324,574.00
06/02/2025,06:55,5888.50,5888.50,5886.25,5887.00,271,460,731.00
06/02/2025,07:00,5887.00,5888.75,5886.75,5887.25,235,308,543.00
06/02/2025,07:05,5887.25,5888.25,5886.75,5887.50,168,214,382.00
06/02/2025,07:10,5887.25,5889.75,5887.25,5888.75,323,175,498.00
06/02/2025,07:15,5889.00,5890.00,5888.75,5889.75,222,121,343.00
06/02/2025,07:20,5890.00,5890.50,5889.25,5890.00,182,115,297.00
06/02/2025,07:25,5890.25,5892.25,5889.75,5891.50,298,284,582.00
06/02/2025,07:30,5891.25,5892.50,5891.25,5891.75,190,160,350.00
06/02/2025,07:35,5891.75,5892.00,5890.75,5892.00,147,101,248.00
06/02/2025,07:40,5891.75,5892.75,5889.50,5890.50,219,419,638.00
06/02/2025,07:45,5890.75,5891.00,5889.50,5890.50,122,112,234.00
06/02/2025,07:50,5890.75,5891.00,5888.50,5889.25,125,311,436.00
06/02/2025,07:55,5889.25,5889.50,5884.00,5885.50,763,1315,2078.00
06/02/2025,08:00,5885.50,5887.50,5885.50,5886.75,212,189,401.00
06/02/2025,08:05,5887.00,5889.25,5887.00,5887.00,309,281,590.00
06/02/2025,08:10,5887.00,5890.00,5886.50,5890.00,361,122,483.00
06/02/2025,08:15,5890.00,5890.50,5887.75,5888.75,211,225,436.00
06/02/2025,08:20,5888.50,5888.75,5885.75,5885.75,161,339,500.00
06/02/2025,08:25,5886.00,5886.75,5885.00,5885.75,297,274,571.00
06/02/2025,08:30,5885.75,5887.75,5885.25,5885.75,426,299,725.00
06/02/2025,08:35,5885.50,5885.75,5881.50,5883.00,611,870,1481.00
06/02/2025,08:40,5882.75,5884.00,5881.50,5883.00,313,288,601.00
06/02/2025,08:45,5883.25,5886.25,5883.00,5885.25,427,240,667.00
06/02/2025,08:50,5885.25,5886.50,5884.50,5885.50,182,287,469.00
06/02/2025,08:55,5885.50,5885.75,5883.50,5885.25,249,200,449.00
06/02/2025,09:00,5885.00,5885.25,5882.75,5885.00,297,288,585.00
06/02/2025,09:05,5884.75,5885.75,5881.75,5883.00,379,345,724.00
06/02/2025,09:10,5883.00,5883.75,5880.50,5882.75,312,310,622.00
06/02/2025,09:15,5882.00,5882.25,5878.50,5878.75,392,730,1122.00
06/02/2025,09:20,5878.75,5883.75,5877.50,5883.75,599,388,987.00
06/02/2025,09:25,5883.50,5885.25,5880.50,5882.00,724,710,1434.00
06/02/2025,09:30,5882.00,5884.50,5881.00,5883.25,491,369,860.00
06/02/2025,09:35,5883.25,5886.00,5881.75,5885.25,489,370,859.00
06/02/2025,09:40,5885.25,5886.25,5882.25,5885.00,416,508,924.00
06/02/2025,09:45,5885.00,5888.25,5884.00,5888.25,706,436,1142.00
06/02/2025,09:50,5888.00,5888.75,5884.75,5885.75,388,576,964.00
06/02/2025,09:55,5885.50,5887.00,5884.00,5885.25,211,236,447.00
06/02/2025,10:00,5885.25,5885.25,5882.25,5882.50,468,550,1018.00
06/02/2025,10:05,5882.50,5891.25,5880.50,5891.25,1535,1045,2580.00
06/02/2025,10:10,5891.00,5892.00,5888.00,5890.75,785,774,1559.00
06/02/2025,10:15,5890.75,5892.50,5889.25,5891.75,536,416,952.00
06/02/2025,10:20,5891.75,5892.75,5889.25,5891.75,480,504,984.00
06/02/2025,10:25,5891.75,5892.00,5885.75,5885.75,526,801,1327.00
06/02/2025,10:30,5886.00,5886.00,5867.50,5869.25,2038,3376,5414.00
06/02/2025,10:35,5869.50,5882.50,5868.00,5882.00,2047,1382,3429.00
06/02/2025,10:40,5882.00,5886.00,5879.75,5883.50,906,661,1567.00
06/02/2025,10:45,5883.75,5883.75,5879.25,5880.25,568,724,1292.00
06/02/2025,10:50,5880.50,5883.75,5879.25,5882.00,825,848,1673.00
06/02/2025,10:55,5882.00,5883.75,5877.75,5882.25,527,636,1163.00
06/02/2025,11:00,5882.25,5883.00,5879.50,5880.75,502,494,996.00
06/02/2025,11:05,5880.50,5885.75,5879.50,5885.00,1025,1029,2054.00
06/02/2025,11:10,5885.00,5890.75,5885.00,5889.00,988,862,1850.00
06/02/2025,11:15,5889.50,5891.00,5886.25,5890.75,803,580,1383.00
06/02/2025,11:20,5890.50,5891.00,5884.75,5885.00,482,676,1158.00
06/02/2025,11:25,5884.75,5891.50,5884.50,5890.50,707,549,1256.00
06/02/2025,11:30,5890.50,5893.75,5887.75,5892.50,821,548,1369.00
06/02/2025,11:35,5892.75,5894.50,5890.25,5891.00,703,636,1339.00
06/02/2025,11:40,5891.00,5893.00,5889.25,5890.25,557,601,1158.00
06/02/2025,11:45,5890.25,5890.50,5886.25,5888.00,444,647,1091.00
06/02/2025,11:50,5888.25,5891.25,5886.25,5886.25,653,657,1310.00
06/02/2025,11:55,5886.25,5887.75,5884.50,5886.25,546,619,1165.00
06/02/2025,12:00,5886.50,5889.50,5886.25,5887.75,431,332,763.00
06/02/2025,12:05,5887.50,5888.00,5883.50,5886.75,901,806,1707.00
06/02/2025,12:10,5886.25,5888.75,5881.75,5882.00,770,852,1622.00
06/02/2025,12:15,5882.00,5882.75,5879.75,5881.75,499,750,1249.00
06/02/2025,12:20,5881.75,5882.75,5879.50,5880.50,519,624,1143.00
06/02/2025,12:25,5880.50,5885.00,5879.50,5884.00,553,506,1059.00
06/02/2025,12:30,5884.00,5885.00,5881.00,5883.25,362,627,989.00
06/02/2025,12:35,5883.25,5885.00,5882.25,5884.00,483,551,1034.00
06/02/2025,12:40,5884.00,5884.75,5881.50,5882.00,354,604,958.00
06/02/2025,12:45,5882.00,5884.00,5878.25,5878.25,773,863,1636.00
06/02/2025,12:50,5878.75,5880.00,5876.50,5879.25,979,941,1920.00
06/02/2025,12:55,5879.25,5881.50,5876.50,5880.25,673,543,1216.00
06/02/2025,13:00,5880.50,5883.00,5877.50,5882.50,477,452,929.00
06/02/2025,13:05,5882.50,5883.50,5881.00,5882.25,489,412,901.00
06/02/2025,13:10,5882.25,5887.00,5881.25,5887.00,735,488,1223.00
06/02/2025,13:15,5887.00,5889.25,5886.00,5887.75,530,514,1044.00
06/02/2025,13:20,5887.50,5887.75,5883.75,5887.75,375,480,855.00
06/02/2025,13:25,5887.50,5888.00,5881.75,5882.50,405,664,1069.00
06/02/2025,13:30,5882.75,5886.75,5882.75,5885.25,461,448,909.00
06/02/2025,13:35,5885.50,5886.75,5883.50,5885.75,272,305,577.00
06/02/2025,13:40,5885.25,5887.75,5883.00,5887.50,419,457,876.00
06/02/2025,13:45,5887.75,5890.00,5887.25,5887.25,522,453,975.00
06/02/2025,13:50,5887.25,5889.50,5886.75,5888.75,326,319,645.00
06/02/2025,13:55,5888.50,5890.50,5887.00,5890.50,518,416,934.00
06/02/2025,14:00,5890.25,5890.25,5888.00,5890.25,345,378,723.00
06/02/2025,14:05,5889.75,5891.75,5887.00,5891.50,663,507,1170.00
06/02/2025,14:10,5891.50,5892.50,5891.00,5892.25,467,553,1020.00
06/02/2025,14:15,5892.00,5896.75,5890.50,5895.50,1605,1319,2924.00
06/02/2025,14:20,5895.50,5896.00,5893.25,5894.50,500,693,1193.00
